Territory,Total,Compliant,Heal_Cap_Pct,Heal_Inv_Pct,MCP_Pct,Test_Pct,Avg_CC,Typed_Pct,Obs_Pct,Criticality,Health,Risk,Used_Pct,Priority
L5 Safety/Base Class,1,1,100.0,100.0,100.0,100.0,36.0,100.0,100.0,56.7,100.0,MED,100.0,Critical
L5 Safety/Validators,18,15,94.4,88.9,77.8,88.9,104.5,100.0,100.0,65.5,92.6,MED,94.4,Critical
L5 Safety/Guardrails,30,29,100.0,96.7,80.0,96.7,57.4,100.0,100.0,75.2,97.8,MED,96.7,Critical
L5 Safety/Gravity,2,2,100.0,100.0,100.0,100.0,89.5,100.0,100.0,57.4,100.0,MED,100.0,High
L5 Safety/Red Teaming,7,7,100.0,100.0,28.6,100.0,25.0,100.0,100.0,60.9,100.0,MED,100.0,High
L4 State/Base Class,1,1,100.0,100.0,100.0,100.0,81.0,100.0,100.0,36.5,100.0,MED,100.0,High
L4 State/Core,6,5,100.0,100.0,83.3,100.0,49.5,100.0,100.0,38.7,100.0,MED,100.0,High
L4 State/Infrastructure,2,1,100.0,100.0,50.0,100.0,49.5,100.0,100.0,45.0,100.0,HIGH,100.0,High
L4 State/Specialized,3,3,100.0,100.0,66.7,100.0,37.7,100.0,100.0,37.4,100.0,MED,100.0,Medium
L3 Orchestration/Base Class,1,1,100.0,100.0,100.0,100.0,67.0,100.0,100.0,40.5,100.0,MED,100.0,High
L3 Orchestration/Core,31,31,100.0,100.0,90.3,90.3,41.8,100.0,100.0,52.9,96.8,MED,93.5,High
L3 Orchestration/Infrastructure,1,1,100.0,100.0,100.0,100.0,17.0,100.0,100.0,40.5,100.0,MED,100.0,High
L3 Orchestration/Specialized,4,4,100.0,100.0,25.0,100.0,23.5,100.0,100.0,42.0,100.0,MED,100.0,Medium
L2 Execution/Base Class,1,1,100.0,100.0,100.0,100.0,44.0,100.0,100.0,44.6,100.0,MED,100.0,High
L2 Execution/Core,46,39,93.5,84.8,78.3,73.9,44.0,100.0,100.0,60.3,86.2,MED,87.0,High
L2 Execution/Specialized,3,3,100.0,100.0,100.0,100.0,43.3,100.0,100.0,45.7,100.0,MED,100.0,Medium
L1 Cognition/Base Class,1,1,100.0,100.0,0.0,100.0,49.0,100.0,100.0,48.6,100.0,MED,100.0,Medium
L1 Cognition/Core,26,22,92.3,76.9,80.8,73.1,31.3,100.0,100.0,61.8,83.3,MED,96.2,Medium
L1 Cognition/Specialized,3,2,100.0,66.7,0.0,100.0,33.7,100.0,100.0,54.6,88.9,HIGH,100.0,Low
L0 Maintenance/Core,10,10,100.0,90.0,90.0,100.0,43.5,100.0,100.0,58.5,96.7,MED,100.0,Medium
L0 Maintenance/Infrastructure,1,1,100.0,100.0,100.0,100.0,15.0,100.0,100.0,52.6,100.0,MED,100.0,Medium
Observability/Metrics,13,12,100.0,92.3,69.2,92.3,27.8,100.0,100.0,46.5,94.9,MED,100.0,High
Observability/Telemetry,1,1,100.0,100.0,100.0,100.0,36.0,100.0,100.0,40.5,100.0,MED,100.0,High
Observability/Tracing,1,1,100.0,100.0,100.0,100.0,86.0,100.0,100.0,40.5,100.0,MED,100.0,Medium
Observability/Compliance,1,1,100.0,100.0,100.0,100.0,27.0,100.0,100.0,40.5,100.0,MED,100.0,Medium
Apps Lic,37,33,91.9,89.2,59.5,48.6,23.7,100.0,100.0,58.5,79.3,HIGH,100.0,High
Apps Rg,23,23,100.0,100.0,60.9,60.9,36.7,100.0,100.0,51.5,87.0,MED,100.0,High
Apps Shared,2,2,100.0,100.0,100.0,0.0,11.0,100.0,100.0,41.0,66.7,HIGH,100.0,Medium
TOTAL,276,239,86.6,91.7,73.9,75.0,35.7,87.1,97.1,100,87.9,MED,96.0,ALL
