source,original_path,last_commit,last_commit_date,bytes,recovered_as,status
.windsurf/plans,.windsurf/plans/01_apps-rg-master-governed-runtime-hardening.md,153652b9eb3,2026-06-07 06:37:48 -0400,77788,01_apps-rg-master-governed-runtime-hardening.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/02_apps-rg-structured-resume-refactor-f8c2a1.md,153652b9eb3,2026-06-07 06:37:48 -0400,52147,02_apps-rg-structured-resume-refactor-f8c2a1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/03_apps-rg-l4-boundary-hardening-c8f2a1.md,153652b9eb3,2026-06-07 06:37:48 -0400,21452,03_apps-rg-l4-boundary-hardening-c8f2a1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/04_apps-rg-c0-architecture-analysis-f3d8b2.md,153652b9eb3,2026-06-07 06:37:48 -0400,35143,04_apps-rg-c0-architecture-analysis-f3d8b2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/10c-binding-wave-sweep-a3f2e7.md,153652b9eb3,2026-06-07 06:37:48 -0400,8418,10c-binding-wave-sweep-a3f2e7.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/10c-proof-depth-remediation-a9f9af.md,153652b9eb3,2026-06-07 06:37:48 -0400,14657,10c-proof-depth-remediation-a9f9af.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/RCA_adg_violations_precommit_gap.md,21c9eca9308,2026-04-04 06:31:02 -0400,5397,RCA_adg_violations_precommit_gap.md,LOST_RECOVERED
.windsurf/plans,.windsurf/plans/_archive/2026-04/apps-eval-harness-parity-f8d4a2.md,153652b9eb3,2026-06-07 06:37:48 -0400,21377,apps-eval-harness-parity-f8d4a2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/apps-lic-deferred-scope-followup-d3f9b2.md,153652b9eb3,2026-06-07 06:37:48 -0400,12898,apps-lic-deferred-scope-followup-d3f9b2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/apps-qna-c0-fec-producer-wiring-d4f1e8.md,153652b9eb3,2026-06-07 06:37:48 -0400,4500,apps-qna-c0-fec-producer-wiring-d4f1e8.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/apps-qna-deferred-e5-f7a2b1.md,153652b9eb3,2026-06-07 06:37:48 -0400,10877,apps-qna-deferred-e5-f7a2b1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/apps-underwriting-ai-c0-fec-producer-wiring-f6b3d9.md,153652b9eb3,2026-06-07 06:37:48 -0400,3392,apps-underwriting-ai-c0-fec-producer-wiring-f6b3d9.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/author-gate-four-req-enforcement-c4d2a8.md,153652b9eb3,2026-06-07 06:37:48 -0400,12340,author-gate-four-req-enforcement-c4d2a8.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/author-gate-pipeline-hardening-d7e3f9.md,153652b9eb3,2026-06-07 06:37:48 -0400,5394,author-gate-pipeline-hardening-d7e3f9.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/c0-context-engine-wiring-fix-9e42a1.md,153652b9eb3,2026-06-07 06:37:48 -0400,14505,c0-context-engine-wiring-fix-9e42a1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/harness-enforcement-rename-a8f21c.md,153652b9eb3,2026-06-07 06:37:48 -0400,16802,harness-enforcement-rename-a8f21c.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-04/llm-as-judge-hardening-anthropic-e7b1a4.md,153652b9eb3,2026-06-07 06:37:48 -0400,11163,llm-as-judge-hardening-anthropic-e7b1a4.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/ag-queue-drain-b7e4c1.md,153652b9eb3,2026-06-07 06:37:48 -0400,13648,ag-queue-drain-b7e4c1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-eval-agentic-spine-hardening-9d4f2e.md,153652b9eb3,2026-06-07 06:37:48 -0400,8309,apps-eval-agentic-spine-hardening-9d4f2e.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-eval-harness-closeout-b7c9d2.md,153652b9eb3,2026-06-07 06:37:48 -0400,9678,apps-eval-harness-closeout-b7c9d2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-eval-harness-deferred-e4a1b7.md,153652b9eb3,2026-06-07 06:37:48 -0400,13560,apps-eval-harness-deferred-e4a1b7.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-eval-harness-phase2-b5f3c1.md,153652b9eb3,2026-06-07 06:37:48 -0400,7477,apps-eval-harness-phase2-b5f3c1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-exec-c0-fec-producer-wiring-c2e8a5.md,153652b9eb3,2026-06-07 06:37:48 -0400,2515,apps-exec-c0-fec-producer-wiring-c2e8a5.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-calibration-holdout-e8f1c4.md,153652b9eb3,2026-06-07 06:37:48 -0400,11418,apps-lic-calibration-holdout-e8f1c4.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-canonical-spine-wireup-e7c2a5.md,153652b9eb3,2026-06-07 06:37:48 -0400,53655,apps-lic-canonical-spine-wireup-e7c2a5.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-deferred-scope-followup-8c3e2a.md,153652b9eb3,2026-06-07 06:37:48 -0400,6011,apps-lic-deferred-scope-followup-8c3e2a.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-holdout-realtraffic-followup-b2d9f3.md,153652b9eb3,2026-06-07 06:37:48 -0400,7800,apps-lic-holdout-realtraffic-followup-b2d9f3.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-infra-prerequisites-unblock-p2p3.md,153652b9eb3,2026-06-07 06:37:48 -0400,12511,apps-lic-infra-prerequisites-unblock-p2p3.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-p2p3-deferred-scope-activation.md,153652b9eb3,2026-06-07 06:37:48 -0400,8570,apps-lic-p2p3-deferred-scope-activation.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-p2p3-deferred-scope-collection.md,153652b9eb3,2026-06-07 06:37:48 -0400,7327,apps-lic-p2p3-deferred-scope-collection.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-p2p3-deferred-scope-execution.md,153652b9eb3,2026-06-07 06:37:48 -0400,8960,apps-lic-p2p3-deferred-scope-execution.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-p3-multi-touch-resurfacing-readiness.md,153652b9eb3,2026-06-07 06:37:48 -0400,12317,apps-lic-p3-multi-touch-resurfacing-readiness.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-production-migration-d4d5-a1b2c3.md,153652b9eb3,2026-06-07 06:37:48 -0400,3664,apps-lic-production-migration-d4d5-a1b2c3.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-lic-signal-enhancements-p2p3-spine-aligned.md,153652b9eb3,2026-06-07 06:37:48 -0400,22741,apps-lic-signal-enhancements-p2p3-spine-aligned.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-deferred-e1e3e5-3d3708.md,153652b9eb3,2026-06-07 06:37:48 -0400,6562,apps-qna-deferred-e1e3e5-3d3708.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-e1-index-populate-d4366e.md,153652b9eb3,2026-06-07 06:37:48 -0400,6341,apps-qna-e1-index-populate-d4366e.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-grounded-spine-refactor-f5a2c9.md,153652b9eb3,2026-06-07 06:37:48 -0400,44407,apps-qna-grounded-spine-refactor-f5a2c9.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-judge-calibration-deferred-d4e8f2.md,153652b9eb3,2026-06-07 06:37:48 -0400,9018,apps-qna-judge-calibration-deferred-d4e8f2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-remaining-e1e2e3e5-54b6c7.md,153652b9eb3,2026-06-07 06:37:48 -0400,6571,apps-qna-remaining-e1e2e3e5-54b6c7.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-spine-deferred-e9c5b3.md,153652b9eb3,2026-06-07 06:37:48 -0400,3692,apps-qna-spine-deferred-e9c5b3.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-qna-spine-integration-e9c5b3.md,153652b9eb3,2026-06-07 06:37:48 -0400,21663,apps-qna-spine-integration-e9c5b3.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-repo-brief-c0-runtime-wiring-f4a8b2.md,153652b9eb3,2026-06-07 06:37:48 -0400,4894,apps-repo-brief-c0-runtime-wiring-f4a8b2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-repo-brief-closeout-impl-b3e7a2.md,153652b9eb3,2026-06-07 06:37:48 -0400,3791,apps-repo-brief-closeout-impl-b3e7a2.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-repo-brief-deferred-scope-closeout-a7d2f1.md,153652b9eb3,2026-06-07 06:37:48 -0400,9946,apps-repo-brief-deferred-scope-closeout-a7d2f1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-repo-brief-l3-workflow-e2c7d9.md,153652b9eb3,2026-06-07 06:37:48 -0400,5421,apps-repo-brief-l3-workflow-e2c7d9.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-repo-brief-plan3-deferred-scope-b9e4c1.md,153652b9eb3,2026-06-07 06:37:48 -0400,21056,apps-repo-brief-plan3-deferred-scope-b9e4c1.md,SURVIVED_IN_CURRENT
.windsurf/plans,.windsurf/plans/_archive/2026-05/apps-repo-brief-plan3-zero-loss-overwrite.md,153652b9eb3,2026-06-07 06:37:48 -0400,57108,apps-repo-brief-plan3-zero-loss-overwrite.md,SURVIVED_IN_CURRENT
