Territory,Total,Compliant,Heal_Cap_Pct,Heal_Inv_Pct,MCP_Pct,Test_Pct,Avg_CC,Typed_Pct,Obs_Pct,Criticality,Health,Risk,Used_Pct,Priority
L5 Safety/Validators,19,14,100.0,89.5,100.0,100.0,104.4,100.0,94.7,71.9,94.7,HIGH,100.0,Critical
L5 Safety/Guardrails,35,28,100.0,91.4,77.1,74.3,35.5,100.0,100.0,75.7,88.6,MED,91.4,Critical
L5 Safety/Gravity,2,2,100.0,100.0,100.0,100.0,89.5,100.0,100.0,57.4,100.0,MED,100.0,High
L5 Safety/Red Teaming,1,1,100.0,100.0,100.0,100.0,21.0,100.0,100.0,56.7,100.0,MED,100.0,High
L4 State,12,9,100.0,75.0,100.0,83.3,15.9,83.3,100.0,42.8,86.1,HIGH,100.0,High
L3 Orchestration,51,29,100.0,58.8,100.0,94.1,37.7,98.0,100.0,61.5,84.3,HIGH,86.3,High
L2 Execution,66,25,100.0,33.3,100.0,92.4,42.7,83.3,100.0,73.9,75.2,HIGH,86.4,High
L1 Cognition,32,7,100.0,25.0,96.9,84.4,37.0,100.0,100.0,68.6,69.8,HIGH,59.4,Medium
L0 Maintenance,13,3,100.0,23.1,100.0,100.0,7.4,92.3,100.0,54.7,74.4,MED,46.2,Medium
Apps Lic,43,11,88.4,14.0,86.0,67.4,33.2,72.1,86.0,70.7,55.8,HIGH,86.0,High
Apps Rg,33,4,81.8,12.1,75.8,100.0,39.0,72.7,66.7,75.7,59.6,HIGH,97.0,High
Tests,3,0,33.3,0.0,100.0,100.0,24.7,0.0,0.0,25.5,33.3,HIGH,0.0,Medium
TOTAL,310,97,54.5,24.8,51.3,280,40.1,47.5,87.4,100,67.5,HIGH,84.2,ALL
